Country,2019,2020,2021,2022,2023,2024,2025
Samoa,0.2702,0.3687,0.3258,0.2952,0.3437,0.4575,0.4433
San Marino,0.5,0,0,0,0.3333,0.0909,0.2
Sao Tome And Principe,0.3478,0.3636,0.2,0.2143,0.4667,0.5,0.25
Saudi Arabia,0.0682,0.1001,0.1343,0.1429,0.0501,0.0789,0.0598
Senegal,0.5588,0.6528,0.3495,0.6648,0.7047,0.7465,0.7396
Serbia,0.3033,0.2501,0.1327,0.1945,0.1653,0.1777,0.152
Seychelles,0.106,0.0638,0,0.1026,0.0455,0.0759,0.1322
Sierra Leone,0.5799,0.5935,0.357,0.4516,0.4902,0.6936,0.7055
Singapore,0.1807,0.1017,0.0972,0.101,0.1522,0.104,0.1864
Slovakia,0.1199,0.2808,0.1087,0.1586,0.1149,0.1158,0.1433
Slovenia,0.1233,0.1711,0.1519,0.1347,0.1386,0.1242,0.1457
Solomon Islands,0.022,0.0909,0,0.0769,0.0435,0.05,0.0784
Somalia,0.8077,0.7176,0.6667,0.7397,0.6989,0.7702,0.8352
South Africa,0.0692,0.078,0.1767,0.0968,0.1127,0.1065,0.1166
South Sudan,0.5232,0.5336,0.4571,0.4904,0.4894,0.6035,0.7609
Spain,0.1653,0.2017,0.1829,0.1075,0.1566,0.1639,0.2367
Sri Lanka,0.3512,0.36,0.2534,0.2213,0.2661,0.2976,0.3335
St. Kitts And Nevis,0.2187,0.2328,0.1935,0.1714,0.2095,0.2664,0.3509
St. Lucia,0.1675,0.2331,0.1747,0.1672,0.166,0.2682,0.3703
St. Vincent And The Grenadines,0.1455,0.211,0.1508,0.1412,0.1699,0.2664,0.3734
Sudan,0.5744,0.5025,0.409,0.3883,0.4934,0.5459,0.6326
Suriname,0.0744,0.1083,0.0642,0.1191,0.1444,0.1363,0.1428
Sweden,0.1332,0.1835,0.3946,0.1707,0.2068,0.2146,0.2177
Switzerland,0.072,0.1092,0.1892,0.0305,0.0536,0.0539,0.0582
Syria,0.7483,0.6668,0.4404,0.4287,0.4742,0.4584,0.5069
Tajikistan,0.6097,0.5955,0.5724,0.5793,0.5496,0.4524,0.4783
Tanzania,0.239,0.3104,0.0727,0.2937,0.3413,0.3669,0.3941
Thailand,0.2341,0.2444,0.3182,0.2436,0.2434,0.225,0.2567
Timor-Leste,0.0423,0.2143,0,0,0.0851,0.0625,0.2045
Togo,0.5978,0.6232,0.1698,0.4387,0.5513,0.666,0.7202
Tonga,0.4585,0.4815,0.4667,0.5127,0.5061,0.4733,0.4721
Trinidad And Tobago,0.1305,0.141,0.0705,0.1364,0.1662,0.1818,0.1492
Tunisia,0.2417,0.1911,0.2492,0.2106,0.2614,0.2321,0.2589
Turkey,0.1919,0.1746,0.137,0.1996,0.2059,0.1978,0.2225
Turkmenistan,0.5626,0.5855,0.32,0.3569,0.511,0.588,0.6474
Tuvalu,0.2581,0.3333,0,0.2727,0.2222,0.0833,0.0455
Uganda,0.5165,0.4982,0.387,0.4215,0.4713,0.4729,0.5758
Ukraine,0.4506,0.4314,0.1515,0.4127,0.3429,0.3345,0.3392
United Arab Emirates,0.0556,0.0844,0.0893,0.1006,0.0418,0.0146,0.0217
Uruguay,0.0591,0.0977,0.0882,0.057,0.0321,0.0263,0.0259
Uzbekistan,0.6806,0.7414,0.4598,0.4704,0.5956,0.6441,0.5246
Vanuatu,0.4105,0.4634,0.3333,0.3609,0.3884,0.4623,0.4688
Vatican City,0.0833,0,0,0.1429,0.1429,0,0
Venezuela,0.5953,0.523,0.2722,0.3401,0.3488,0.374,0.4822
Vietnam,0.237,0.1878,0.1132,0.1498,0.2578,0.2212,0.2208
Yemen,0.7845,0.7666,0.543,0.5614,0.5716,0.5807,0.6798
Zambia,0.4064,0.4478,0.1654,0.3322,0.3236,0.4497,0.5245
Zimbabwe,0.2692,0.2941,0.0931,0.2676,0.3455,0.3947,0.376
Hong Kong S. A. R.,0.0323,0.045,0.0528,0.0488,0.0549,0.0616,0.0772
Kosovo,0.3676,0.3947,0.1251,0.1793,0.2979,0.3652,0.35
Macau S.A.R.,0.0503,0.0712,0.125,0.2017,0.1157,0.0985,0.1313
Palestinian Authority Travel Document,0.5292,0.5827,0.508,0.3396,0.3477,0.4451,0.6026
Taiwan,0.0462,0.0502,0.1265,0.0456,0.0492,0.0522,0.0945
Western Sahara,0,0,,,,,
